<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ORI13C1912A,20190916,0.37,0.37,0.34,0.35,7610200
ORI19C1910A,20190916,0.19,0.19,0.17,0.18,963000
ORI19C2001A,20190916,0.11,0.11,0.1,0.1,1385000
ORI24C2001A,20190916,0.21,0.21,0.2,0.21,819900
ORI41C1911A,20190916,0.33,0.33,0.33,0.33,266000
OSP01C1912A,20190916,0.36,0.4,0.36,0.38,13983300
OSP01C1912B,20190916,0.19,0.22,0.19,0.21,17407300
OSP01P1912A,20190916,0.27,0.28,0.24,0.26,4124500
OSP06C1912A,20190916,0.21,0.24,0.21,0.23,1646200
OSP08C2001A,20190916,0.26,0.29,0.26,0.29,2990000
OSP11C2005A,20190916,0.29,0.32,0.29,0.31,3305400
OSP13C1912A,20190916,0.29,0.32,0.29,0.31,6226800
OSP16C2001A,20190916,0.26,0.29,0.26,0.29,5476000
OSP19C1912A,20190916,0.2,0.23,0.2,0.23,1512700
OSP28C2001A,20190916,0.24,0.26,0.24,0.26,2332200
OSP41C1912A,20190916,0.27,0.27,0.27,0.27,10000
OSP42C2001A,20190916,0.29,0.34,0.29,0.33,389600
PLAN13C1912B,20190916,0.25,0.29,0.25,0.29,4982500
PLAN16C2002A,20190916,0.54,0.59,0.54,0.59,4310000
PLAN19C1911A,20190916,0.37,0.38,0.37,0.38,120000
PLAN19C2001A,20190916,0.22,0.25,0.22,0.25,1409400
PLAN23C1909A,20190916,0.36,0.42,0.36,0.42,260000
PLAN24C1912A,20190916,0.4,0.43,0.4,0.43,270000
PLAN28C2002A,20190916,0.3,0.32,0.3,0.32,3343000
PLAN41C1910A,20190916,0.43,0.43,0.42,0.43,1977600
PRM08C2003A,20190916,0.53,0.55,0.5,0.5,3320000
PRM13C1912A,20190916,0.53,0.54,0.47,0.48,15758200
PRM19C1910A,20190916,0.39,0.4,0.38,0.38,960000
PRM19C2001A,20190916,0.29,0.31,0.27,0.27,2537300
PRM23C1909A,20190916,0.51,0.54,0.51,0.53,900000
PRM27C2002A,20190916,0.56,0.58,0.53,0.53,3425000
PRM41C2002A,20190916,0.53,0.53,0.53,0.53,1200000
PRM42C2001A,20190916,0.41,0.42,0.4,0.4,729600
PSL06C1911A,20190916,0.95,1.07,0.93,1.05,6237900
PSL13C1912A,20190916,0.36,0.41,0.34,0.4,21447200
PSL19C1912A,20190916,0.27,0.32,0.27,0.31,5831400
PSL27C2002A,20190916,0.54,0.59,0.52,0.59,9831100
PTG01C1911A,20190916,1.2,1.2,0.98,0.98,9246600
PTG01C1911B,20190916,1,1,0.72,0.72,9889300
PTG01C2001A,20190916,0.67,0.68,0.5,0.5,24415600
PTG01C2001B,20190916,0.45,0.45,0.3,0.3,28524300
PTG01P1911A,20190916,0.05,0.08,0.05,0.08,3708100
PTG01P2001A,20190916,0.48,0.61,0.47,0.61,45820000
PTG06C1910A,20190916,1.85,1.85,1.52,1.52,1927000
PTG06C2001A,20190916,0.5,0.5,0.36,0.36,4775200
PTG08C1912A,20190916,0.59,0.59,0.41,0.41,5679000
PTG11C2003A,20190916,0.98,0.98,0.82,0.82,1497900
PTG11C2005A,20190916,0.6,0.6,0.47,0.47,8684600
PTG13C1910A,20190916,1.46,1.46,1.32,1.32,84000
PTG13C1911A,20190916,0.69,0.69,0.69,0.69,6000
PTG13C1912A,20190916,0.46,0.46,0.3,0.3,24757000
PTG13C1912B,20190916,0.26,0.26,0.15,0.15,36669100
PTG13P1911A,20190916,0.15,0.24,0.15,0.24,21094700
PTG13P2001A,20190916,0.43,0.57,0.43,0.57,50003200
PTG16C1911A,20190916,1.21,1.21,0.99,0.99,10020100
PTG19C1910A,20190916,0.85,0.85,0.78,0.78,20000
PTG19C1910B,20190916,0.32,0.32,0.16,0.16,8856300
PTG19C1911A,20190916,0.21,0.21,0.12,0.12,5479700
PTG19P2001A,20190916,0.38,0.49,0.38,0.49,10090800
PTG24C1909A,20190916,1.28,1.28,1.28,1.28,10000
PTG27P1910A,20190916,0.02,0.02,0.02,0.02,50000
PTG27P2001A,20190916,0.19,0.25,0.19,0.25,10006200
PTG28C1912A,20190916,0.31,0.31,0.19,0.19,14350900
PTG41C1912A,20190916,0.43,0.43,0.36,0.36,7016600
PTG41P1912A,20190916,0.48,0.54,0.47,0.54,5433400
PTG42C1910A,20190916,0.96,0.96,0.72,0.72,320200
PTG42C2001A,20190916,0.32,0.32,0.21,0.22,1683500
PTT01C1910A,20190916,0.2,0.21,0.19,0.19,32295400
PTT01C1910B,20190916,0.11,0.11,0.1,0.1,1644500
PTT01C2001A,20190916,0.38,0.4,0.38,0.38,11166600
PTT01C2001B,20190916,0.2,0.21,0.19,0.19,15679500
PTT01P1910A,20190916,0.56,0.56,0.55,0.55,10999000
PTT01P1910B,20190916,0.13,0.14,0.13,0.13,6821200
PTT01P2001A,20190916,0.61,0.61,0.59,0.6,17175900
PTT01P2001B,20190916,0.39,0.39,0.37,0.37,2090400
PTT06C1912A,20190916,0.11,0.13,0.11,0.11,3266000
PTT08C1912A,20190916,0.36,0.38,0.35,0.36,1143100
PTT08P1911A,20190916,0.2,0.2,0.18,0.2,1898000
PTT11C2004A,20190916,0.25,0.27,0.25,0.26,937900
PTT13C1911A,20190916,0.16,0.17,0.16,0.16,3356400
PTT13C2001A,20190916,0.36,0.37,0.35,0.36,19051100
PTT13P1911A,20190916,0.22,0.22,0.18,0.19,36127300
PTT16C1912A,20190916,0.33,0.34,0.33,0.34,3449800
PTT16C2001A,20190916,0.12,0.12,0.11,0.12,4006500
